Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1u","C_0805_2012Metric",-35.150000,-34.250000,-90.000000,bottom
"C2","0.1u","C_0805_2012Metric",-22.050000,-40.550000,0.000000,bottom
"C3","0.1u","C_0805_2012Metric",-31.700000,-44.000000,90.000000,bottom
"C4","10u","C_0805_2012Metric",-23.123750,-28.750000,180.000000,bottom
"C5","22p","C_0805_2012Metric",-42.760000,-32.860000,180.000000,bottom
"C6","22p","C_0805_2012Metric",-42.760000,-38.460000,180.000000,bottom
"C7","1u","C_0805_2012Metric",-28.500000,-29.600000,-90.000000,bottom
"D1","1N4148","D_SOD-123",-2.381250,-12.700000,90.000000,bottom
"D2","1N4148","D_SOD-123",-17.462500,-9.800000,90.000000,bottom
"D3","1N4148","D_SOD-123",-36.512500,-9.793750,90.000000,bottom
"D4","1N4148","D_SOD-123",-55.562500,-9.793750,90.000000,bottom
"D5","1N4148","D_SOD-123",-74.612500,-9.793750,90.000000,bottom
"D6","1N4148","D_SOD-123",-93.662500,-9.793750,90.000000,bottom
"D7","1N4148","D_SOD-123",-112.712500,-9.793750,90.000000,bottom
"D8","1N4148","D_SOD-123",-132.031250,-9.793750,90.000000,bottom
"D9","1N4148","D_SOD-123",-151.081250,-9.793750,90.000000,bottom
"D10","1N4148","D_SOD-123",-170.131250,-9.793750,90.000000,bottom
"D11","1N4148","D_SOD-123",-189.181250,-9.793750,90.000000,bottom
"D12","1N4148","D_SOD-123",-208.231250,-9.793750,90.000000,bottom
"D13","1N4148","D_SOD-123",-227.281250,-9.793750,90.000000,bottom
"D14","1N4148","D_SOD-123",-247.125000,-9.793750,90.000000,bottom
"D15","1N4148","D_SOD-123",-284.797500,-15.875000,90.000000,bottom
"D16","1N4148","D_SOD-123",-287.972500,-15.398750,90.000000,bottom
"D17","1N4148","D_SOD-123",-5.556250,-30.162500,90.000000,bottom
"D18","1N4148","D_SOD-123",-67.750000,-30.250000,90.000000,bottom
"D19","1N4148","D_SOD-123",-64.562500,-28.843750,90.000000,bottom
"D20","1N4148","D_SOD-123",-83.612500,-28.843750,90.000000,bottom
"D21","1N4148","D_SOD-123",-86.750000,-30.000000,90.000000,bottom
"D22","1N4148","D_SOD-123",-103.981250,-28.843750,90.000000,bottom
"D23","1N4148","D_SOD-123",-123.031250,-28.843750,90.000000,bottom
"D24","1N4148","D_SOD-123",-142.081250,-28.843750,90.000000,bottom
"D25","1N4148","D_SOD-123",-161.131250,-28.843750,90.000000,bottom
"D26","1N4148","D_SOD-123",-180.181250,-28.843750,90.000000,bottom
"D27","1N4148","D_SOD-123",-199.231250,-28.843750,90.000000,bottom
"D28","1N4148","D_SOD-123",-218.281250,-28.843750,90.000000,bottom
"D29","1N4148","D_SOD-123",-237.331250,-28.843750,90.000000,bottom
"D30","1N4148","D_SOD-123",-261.143750,-28.843750,90.000000,bottom
"D31","1N4148","D_SOD-123",-284.956250,-28.843750,90.000000,bottom
"D32","1N4148","D_SOD-123",-26.193750,-50.800000,90.000000,bottom
"D33","1N4148","D_SOD-123",-50.275000,-47.893750,90.000000,bottom
"D34","1N4148","D_SOD-123",-53.450000,-49.250000,90.000000,bottom
"D35","1N4148","D_SOD-123",-70.643750,-47.893750,90.000000,bottom
"D36","1N4148","D_SOD-123",-89.693750,-47.893750,90.000000,bottom
"D37","1N4148","D_SOD-123",-108.743750,-47.893750,90.000000,bottom
"D38","1N4148","D_SOD-123",-127.793750,-47.893750,90.000000,bottom
"D39","1N4148","D_SOD-123",-146.843750,-47.893750,90.000000,bottom
"D40","1N4148","D_SOD-123",-165.893750,-47.893750,90.000000,bottom
"D41","1N4148","D_SOD-123",-184.943750,-47.893750,90.000000,bottom
"D42","1N4148","D_SOD-123",-203.993750,-47.893750,90.000000,bottom
"D43","1N4148","D_SOD-123",-223.043750,-47.893750,90.000000,bottom
"D44","1N4148","D_SOD-123",-254.000000,-47.893750,90.000000,bottom
"D45","1N4148","D_SOD-123",-284.956250,-47.893750,90.000000,bottom
"D46","1N4148","D_SOD-123",-28.843750,-66.943750,90.000000,bottom
"D47","1N4148","D_SOD-123",-42.068750,-66.943750,90.000000,bottom
"D48","1N4148","D_SOD-123",-61.118750,-66.943750,90.000000,bottom
"D49","1N4148","D_SOD-123",-80.168750,-66.943750,90.000000,bottom
"D50","1N4148","D_SOD-123",-99.218750,-66.943750,90.000000,bottom
"D51","1N4148","D_SOD-123",-118.268750,-66.943750,90.000000,bottom
"D52","1N4148","D_SOD-123",-137.318750,-66.943750,90.000000,bottom
"D53","1N4148","D_SOD-123",-156.368750,-66.943750,90.000000,bottom
"D54","1N4148","D_SOD-123",-175.418750,-66.943750,90.000000,bottom
"D55","1N4148","D_SOD-123",-194.468750,-66.943750,90.000000,bottom
"D56","1N4148","D_SOD-123",-213.518750,-66.943750,90.000000,bottom
"D57","1N4148","D_SOD-123",-239.712500,-66.943750,90.000000,bottom
